,date_read,publish_date,outlet,url,title,start_time,end_time,reading_time
60,2020-07-20,2020-07-16 00:00:00,thestar,https://www.thestar.com/life/opinion/2020/07/16/justin-trudeaus-a-better-leader-than-trump-but-family-dysfunction-has-ensnared-them-both.html,"Justin Trudeau’s a better leader than Trump, but family dysfunction has ensnared them both",00:00:00,00:05:30,330.0
61,2020-07-20,2020-07-16 00:00:00,ctvnews,https://ottawa.ctvnews.ca/15-new-cases-of-covid-19-in-ottawa-1.5026856,15 new cases of COVID-19 in Ottawa,00:00:00,00:10:51,651.0
62,2020-07-20,2020-07-14 00:00:00,northdeltareporter,https://www.northdeltareporter.com/business/south-surrey-car-wash-to-help-raise-money-for-baby-in-need-of-3m-drug/,South Surrey car wash to help raise money for baby in need of $3M drug – North Delta Reporter,00:00:00,00:06:10,370.0
63,2020-07-20,2020-07-17 00:00:00,torontosun,https://torontosun.com/news/local-news/my-iq-is-195-video-of-karen-at-toronto-anti-mask-protest-goes-viral,'MY IQ IS 195': Video of 'Karen' at Toronto anti-mask protest goes viral,00:00:00,00:02:45,165.0
64,2020-07-20,2020-07-16 00:00:00,langleyadvancetimes,https://www.langleyadvancetimes.com/community/aldergrove-fair-kicks-off-friday-with-its-11th-annual-car-cruise/,Aldergrove Fair kicks off Friday with its 11th annual car cruise – Langley Advance Times,00:00:00,00:01:24,84.0
65,2020-07-20,2020-07-17 00:00:00,thestar,https://www.thestar.com/news/canada/2020/07/17/ottawa-commits-to-national-paid-sick-leave-program-championed-in-bc.html,Ottawa commits to national paid sick leave program championed in B.C.,00:00:00,00:03:06,186.0
66,2020-07-20,2020-07-17 00:00:00,abbynews,https://www.abbynews.com/community/sara-for-women-shelter-recieves-sizeable-donation-from-four-local-shoppers-drug-mart-owners/,SARA for Women shelter receives sizeable donation from four local Shoppers Drug Mart owners – Abbotsford News,00:00:00,00:04:49,289.0
67,2020-07-20,2020-07-17 00:00:00,torontosun,https://torontosun.com/news/local-news/sienna-senior-living-faced-with-another-covid-19-lawsuit,Sienna Senior Living faced with another COVID-19 lawsuit,00:00:00,00:01:10,70.0
68,2020-07-20,2020-07-16 00:00:00,thestar,https://www.thestar.com/life/opinion/2020/07/16/justin-trudeaus-a-better-leader-than-trump-but-family-dysfunction-has-ensnared-them-both.html,"Justin Trudeau’s a better leader than Trump, but family dysfunction has ensnared them both",00:00:00,00:07:22,442.0
69,2020-07-20,2020-07-17 00:00:00,thestar,https://www.thestar.com/sports/football/2020/07/17/edmonton-eskimos-wont-confirm-reports-of-name-change.html,Edmonton Eskimos won’t confirm reports of name change,00:00:00,00:09:42,582.0
